"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://ten10.com/","text/html; charset=UTF-8","200","OK","Indexable","","AI-Native Agentic Automation & Quality Engineering Services | Ten10","67","604","Secure enterprise agentic automation from Ten10 to support mission-critical processes with quality engineering expertise.","121","774","","0","Addressing your productivity challenges with our quality-first, AI-native approach to digital transformation","108","Without data there is no AI. Without the cloud there is no data. And without a quality-first approach, there is no confidence","125","Agentic Automation is a game changer for efficiency, agility, speed and growth","78","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://ten10.com/","","","","","","150049","35279","35279","13.515","","1040","163","6.380","39.700","Hard","5.298","0","0","","871","426","0","100.000","89","31","0","7","5","0","","","","","46fca183b5e15b6a7d8ee84e21f18111","0.036","","","","","en-GB","1.1","","","","","","https://ten10.com/","2026-02-03 09:55:25"
"https://ten10.com/company/corporate-and-social-responsibility/accessibility/","text/html; charset=UTF-8","200","OK","Indexable","","Accessibility | Ten10","21","182","Being experts in website accessibility, we naturally take our own very seriously. Click here to read Ten10's Accessibility Statement.","133","825","","0","Accessibility Statement","23","How accessible this website is","30","Feedback and contact information","32","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://ten10.com/company/corporate-and-social-responsibility/accessibility/","","","","","","101319","27050","27050","10.362","","836","121","6.909","56.528","Fairly Hard","6.060","1","3","","441","426","0","100.000","68","26","0","7","5","0","","","","","e5a321b2f2aa4a17b937e110a4594bcb","0.039","","","","","en-GB","1.1","","","","","","https://ten10.com/company/corporate-and-social-responsibility/accessibility/","2026-02-03 09:55:27"
"https://ten10.com/legal-notice/","text/html; charset=UTF-8","200","OK","Indexable","","Legal Notice | Ten10","20","181","Read Ten10's legal notice of terms and conditions, including who we are, how to contact us, and how we use information on our site.","131","834","","0","Legal Notice","12","1. Who We Are And How To Contact Ten10","38","2. Purpose Of The Site","22","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://ten10.com/legal-notice/","","","","","","106052","29382","29382","11.256","","1783","271","6.579","66.685","Normal","10.872","1","1","","442","426","0","100.000","68","26","0","7","5","0","","","","","ec893c740ef17551e3c12988e5f7faf4","0.064","","","","","en-GB","1.1","","","","","","https://ten10.com/legal-notice/","2026-02-03 09:55:27"
"https://ten10.com/contact/","text/html; charset=UTF-8","200","OK","Indexable","","Contact | Ten10","15","140","Whether you want to learn how our consultants can help your organisation or you want to start a new career in tech, contact our team today.","139","886","","0","Contact","7","Get in touch","12","Or interested in joining the Ten10 Academy?","43","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://ten10.com/contact/","","","","","","130106","34455","34455","13.199","","637","119","5.353","58.365","Fairly Hard","3.814","1","1","","577","426","0","100.000","65","27","0","7","5","0","","","","","ffc0a858bbf7308b03b6a3b637cbc142","0.363","","","","","en-GB","1.1","","","","","","https://ten10.com/contact/","2026-02-03 09:55:27"
"https://ten10.com/privacy-policy/","text/html; charset=UTF-8","200","OK","Indexable","","Privacy Policy | Ten10","22","194","Read Ten10's privacy policy, including our security and data retention measures, and contact information for complaints.","120","760","","0","Privacy Policy","14","1. Personal Information that we collect from you","48","2. Personal Information that we receive from other sources","58","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://ten10.com/privacy-policy/","","","","","","113638","31936","31936","12.234","","2825","375","7.533","60.025","Normal","16.134","1","1","","443","426","0","100.000","65","26","0","11","9","0","","","","","7ded474f186f649d5700f1b31f0e5191","0.153","","","","","en-GB","1.1","","","","","","https://ten10.com/privacy-policy/","2026-02-03 09:55:27"
"https://ten10.com/consultancy/cloud-devops/","text/html; charset=UTF-8","200","OK","Indexable","","Cloud & DevOps Services: Migration Services | Ten10","51","465","Maximise your business productivity with our Cloud & DevOps Services. DevOps migrations, infrastructure management, disaster recovery & cost optimisation.","154","1003","","0","Cloud & DevOps","14","DevOps, FinOps, Cloud, Artificial Intelligence (AI), Agile","58","Cloud & DevOps are driving new ways of working, saving money and the use of AI is helping to accelerate value realisation.","122","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://ten10.com/consultancy/cloud-devops/","","","","","","221636","50557","50557","19.367","","3369","481","7.004","46.471","Hard","10.533","1","2","","913","426","0","100.000","72","29","0","9","7","0","","","","","b9c2150f595a00c07be1bb99c97d8a20","0.477","","","","","en-GB","1.1","","","","","","https://ten10.com/consultancy/cloud-devops/","2026-02-03 09:55:27"
"https://ten10.com/tech-academy/academy-tour/","text/html; charset=UTF-8","200","OK","Indexable","","Academy Tour | Ten10","20","199","Book a tour of the Ten10 Academy and discover how we create your future tech talent across a range of testing and development disciplines.","138","893","","0","Academy Tour","12","Discover how we create your future talent","41","Start finding solutions","23","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://ten10.com/tech-academy/academy-tour/","","","","","","138222","35995","35995","13.789","","706","112","6.304","53.166","Fairly Hard","3.915","1","2","","919","426","0","100.000","73","29","0","7","5","0","","","","","fa7808f677c458d8b670862f26215d8c","0.425","","","","","en-GB","1.1","","","","","","https://ten10.com/tech-academy/academy-tour/","2026-02-03 09:55:27"
"https://ten10.com/test-automation-consultancy-services/","text/html; charset=UTF-8","200","OK","Indexable","","Test Automation Services | Automation Consultancy | Ten10","57","531","Ten10's industry-leading test automation services deliver efficient solutions and frameworks from Mobile, Agile and Unit to UI and Service Layer testing.","153","960","","0","Efficient Quality Assurance with Test Automation Services & Consultancy","71","Work with an industry-leading test automation provider with Ten10’s Test Automation Advisory and Test Factory","109","Enhance your business with effective Test and QA Automation Services","68","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://ten10.com/test-automation-consultancy-services/","","","","","","197608","47742","47742","18.289","","2586","380","6.805","39.430","Hard","9.409","1","1","","87","55","0","12.910","82","34","0","7","5","0","","","","","215ba554f784d939b7b329eca7e4d550","0.484","","","","","en-GB","1.1","","","","","","https://ten10.com/test-automation-consultancy-services/","2026-02-03 09:55:27"
"https://ten10.com/consultancy/software-testing-quality-assurance-services/","text/html; charset=UTF-8","200","OK","Indexable","","Software Testing & Quality Assurance Services | Ten10","53","484","Quality Assurance (QA) and software testing servicesthat lead the industry, helping UK clients strategically balance quality with risk to gaina competitive market advantage.","173","1084","","0","Software Testing and Quality Assurance Consultancy","50","Addressing business concerns with software and QA testing services","66","Explore Ten10's QA & Software Testing services","46","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://ten10.com/consultancy/software-testing-quality-assurance-services/","","","","","","158958","37700","37700","14.442","","2102","311","6.759","44.056","Hard","9.567","1","2","","900","426","0","100.000","92","36","0","7","5","0","","","","","1b5a262f7b787596396c37b1d887df16","0.023","","","","","en-GB","1.1","","","","","","https://ten10.com/consultancy/software-testing-quality-assurance-services/","2026-02-03 09:55:28"
"https://ten10.com/company/technologies/","text/html; charset=UTF-8","200","OK","Indexable","","Technologies | Ten10","20","190","Ten10 provides Quality Engineering, Automation and Academy Engineer expertise. See the wide range of tools and technologies we use with our clients.","148","962","","0","Technologies","12","Ten10 provides Quality Engineering, Automation and Academy Engineer expertise covering a wide range of tools and technologies","125","Get in touch","12","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://ten10.com/company/technologies/","","","","","","184462","33606","33606","12.874","","578","99","5.838","46.492","Hard","2.555","1","2","","870","426","0","100.000","66","26","0","7","5","0","","","","","847370f8a187d4ebb5b76e97af52befc","0.016","","","","","en-GB","1.1","","","","","","https://ten10.com/company/technologies/","2026-02-03 09:55:28"
